,Predicted Air Temperature
2024-01-01 00:00:00,6.963261
2024-01-01 01:00:00,5.470237
2024-01-01 02:00:00,4.1467357
2024-01-01 03:00:00,3.3575058
2024-01-01 04:00:00,1.6876295
2024-01-01 05:00:00,-0.14485657
2024-01-01 06:00:00,1.1189735
2024-01-01 07:00:00,-1.5403477
2024-01-01 08:00:00,1.2997681
2024-01-01 09:00:00,-2.0588322
2024-01-01 10:00:00,-1.9400457
2024-01-01 11:00:00,-0.6069671
2024-01-01 12:00:00,-1.1350883
2024-01-01 13:00:00,-1.6111375
2024-01-01 14:00:00,-1.9092382
2024-01-01 15:00:00,-1.1664308
2024-01-01 16:00:00,1.0247617
2024-01-01 17:00:00,0.64834553
2024-01-01 18:00:00,1.5674316
2024-01-01 19:00:00,2.0518467
2024-01-01 20:00:00,2.350305
2024-01-01 21:00:00,2.1149964
2024-01-01 22:00:00,1.6569484
2024-01-01 23:00:00,0.14419639
2024-01-02 00:00:00,-1.6972488
2024-01-02 01:00:00,-2.9635973
2024-01-02 02:00:00,-2.1584072
2024-01-02 03:00:00,-2.572537
2024-01-02 04:00:00,-3.2608562
2024-01-02 05:00:00,-3.8170605
2024-01-02 06:00:00,-4.090702
2024-01-02 07:00:00,-4.709469
2024-01-02 08:00:00,-5.0875654
2024-01-02 09:00:00,-5.6897683
2024-01-02 10:00:00,-5.907287
2024-01-02 11:00:00,-5.903862
2024-01-02 12:00:00,-6.517194
2024-01-02 13:00:00,-6.405989
2024-01-02 14:00:00,-6.754052
2024-01-02 15:00:00,-6.4778533
2024-01-02 16:00:00,-5.0580254
2024-01-02 17:00:00,-4.2191224
2024-01-02 18:00:00,-3.002667
2024-01-02 19:00:00,-2.102202
2024-01-02 20:00:00,-1.1890414
2024-01-02 21:00:00,-0.84510636
2024-01-02 22:00:00,-0.66940725
2024-01-02 23:00:00,-1.6913978
2024-01-03 00:00:00,-4.845513
2024-01-03 01:00:00,-4.506812
2024-01-03 02:00:00,-4.648975
2024-01-03 03:00:00,-4.8343816
2024-01-03 04:00:00,-4.799522
2024-01-03 05:00:00,-4.950731
2024-01-03 06:00:00,-5.4439354
2024-01-03 07:00:00,-5.4289775
2024-01-03 08:00:00,-5.1890354
2024-01-03 09:00:00,-5.3114
2024-01-03 10:00:00,-4.923955
2024-01-03 11:00:00,-5.3990445
2024-01-03 12:00:00,-5.319064
2024-01-03 13:00:00,-5.102279
2024-01-03 14:00:00,-4.987781
2024-01-03 15:00:00,-2.2500005
2024-01-03 16:00:00,1.0265807
2024-01-03 17:00:00,3.2416644
2024-01-03 18:00:00,5.168316
2024-01-03 19:00:00,6.512595
2024-01-03 20:00:00,7.4508166
2024-01-03 21:00:00,7.3423405
2024-01-03 22:00:00,6.2626576
2024-01-03 23:00:00,2.9229584
2024-01-04 00:00:00,-0.32134008
2024-01-04 01:00:00,1.2199106
2024-01-04 02:00:00,-0.48153132
2024-01-04 03:00:00,-2.337597
2024-01-04 04:00:00,-2.2407312
2024-01-04 05:00:00,-2.6226697
2024-01-04 06:00:00,-3.0105748
2024-01-04 07:00:00,-2.7744727
2024-01-04 08:00:00,-2.687542
2024-01-04 09:00:00,-2.7690725
2024-01-04 10:00:00,-2.7998362
2024-01-04 11:00:00,-3.2465897
2024-01-04 12:00:00,-3.5127177
2024-01-04 13:00:00,-3.360159
2024-01-04 14:00:00,-3.2271314
2024-01-04 15:00:00,-0.6007121
2024-01-04 16:00:00,2.8270998
2024-01-04 17:00:00,4.5280824
2024-01-04 18:00:00,7.1265655
2024-01-04 19:00:00,9.30999
2024-01-04 20:00:00,10.720636
2024-01-04 21:00:00,11.009929
2024-01-04 22:00:00,10.111199
2024-01-04 23:00:00,6.1883817
2024-01-05 00:00:00,3.4720664
2024-01-05 01:00:00,3.3017588
2024-01-05 02:00:00,2.3983378
2024-01-05 03:00:00,1.9201473
2024-01-05 04:00:00,0.94273615
2024-01-05 05:00:00,0.7100882
2024-01-05 06:00:00,0.2414025
2024-01-05 07:00:00,0.19325423
2024-01-05 08:00:00,0.13767588
2024-01-05 09:00:00,-0.0037671924
2024-01-05 10:00:00,0.010943055
2024-01-05 11:00:00,0.048476458
2024-01-05 12:00:00,-0.18247253
2024-01-05 13:00:00,0.27655756
2024-01-05 14:00:00,0.86564505
2024-01-05 15:00:00,2.8036914
2024-01-05 16:00:00,6.899805
2024-01-05 17:00:00,9.301933
2024-01-05 18:00:00,11.721219
2024-01-05 19:00:00,13.924106
2024-01-05 20:00:00,15.249508
2024-01-05 21:00:00,16.232903
2024-01-05 22:00:00,14.966282
2024-01-05 23:00:00,11.184424
2024-01-06 00:00:00,8.513968
2024-01-06 01:00:00,7.927655
2024-01-06 02:00:00,7.031951
2024-01-06 03:00:00,7.0040874
2024-01-06 04:00:00,7.298848
2024-01-06 05:00:00,9.314738
2024-01-06 06:00:00,8.33119
2024-01-06 07:00:00,9.83155
2024-01-06 08:00:00,10.632658
2024-01-06 09:00:00,9.914784
2024-01-06 10:00:00,10.141841
2024-01-06 11:00:00,10.929061
2024-01-06 12:00:00,10.778952
2024-01-06 13:00:00,11.303137
2024-01-06 14:00:00,10.917167
2024-01-06 15:00:00,11.465244
2024-01-06 16:00:00,12.3802805
2024-01-06 17:00:00,14.317058
2024-01-06 18:00:00,15.966899
2024-01-06 19:00:00,15.499486
2024-01-06 20:00:00,14.548911
2024-01-06 21:00:00,15.20475
2024-01-06 22:00:00,13.559335
2024-01-06 23:00:00,12.716028
2024-01-07 00:00:00,12.174254
2024-01-07 01:00:00,12.072118
2024-01-07 02:00:00,11.914129
2024-01-07 03:00:00,12.144522
2024-01-07 04:00:00,11.975699
2024-01-07 05:00:00,11.833667
2024-01-07 06:00:00,11.192441
2024-01-07 07:00:00,10.605815
2024-01-07 08:00:00,9.171626
2024-01-07 09:00:00,9.650031
2024-01-07 10:00:00,8.56567
2024-01-07 11:00:00,7.805556
2024-01-07 12:00:00,10.32228
2024-01-07 13:00:00,9.421982
2024-01-07 14:00:00,10.347542
2024-01-07 15:00:00,10.098565
2024-01-07 16:00:00,11.410865
2024-01-07 17:00:00,11.181692
2024-01-07 18:00:00,11.978821
2024-01-07 19:00:00,12.483165
2024-01-07 20:00:00,14.325955
2024-01-07 21:00:00,15.248357
2024-01-07 22:00:00,13.058583
2024-01-07 23:00:00,11.557523
2024-01-08 00:00:00,11.599836
2024-01-08 01:00:00,11.506059
2024-01-08 02:00:00,11.7416115
2024-01-08 03:00:00,11.54271
2024-01-08 04:00:00,11.574069
2024-01-08 05:00:00,11.908064
2024-01-08 06:00:00,11.383533
2024-01-08 07:00:00,12.114373
2024-01-08 08:00:00,11.319025
2024-01-08 09:00:00,11.931738
2024-01-08 10:00:00,12.183773
2024-01-08 11:00:00,12.626714
2024-01-08 12:00:00,12.459242
2024-01-08 13:00:00,12.193055
2024-01-08 14:00:00,12.649857
2024-01-08 15:00:00,11.829785
2024-01-08 16:00:00,12.916834
2024-01-08 17:00:00,13.995224
2024-01-08 18:00:00,15.076213
2024-01-08 19:00:00,14.088239
2024-01-08 20:00:00,14.303514
2024-01-08 21:00:00,13.871044
2024-01-08 22:00:00,14.6489315
2024-01-08 23:00:00,13.58657
2024-01-09 00:00:00,12.98358
2024-01-09 01:00:00,13.157948
2024-01-09 02:00:00,12.432422
2024-01-09 03:00:00,11.960438
2024-01-09 04:00:00,11.755666
2024-01-09 05:00:00,9.313366
2024-01-09 06:00:00,8.249819
2024-01-09 07:00:00,7.6076202
2024-01-09 08:00:00,8.110078
2024-01-09 09:00:00,8.284653
2024-01-09 10:00:00,7.747891
2024-01-09 11:00:00,8.797789
2024-01-09 12:00:00,8.016464
2024-01-09 13:00:00,8.653811
2024-01-09 14:00:00,8.848277
2024-01-09 15:00:00,8.996711
2024-01-09 16:00:00,9.24396
2024-01-09 17:00:00,12.673105
2024-01-09 18:00:00,15.95116
2024-01-09 19:00:00,15.930777
2024-01-09 20:00:00,14.339835
2024-01-09 21:00:00,13.21025
2024-01-09 22:00:00,13.591236
2024-01-09 23:00:00,13.862772
2024-01-10 00:00:00,13.366723
2024-01-10 01:00:00,12.84134
2024-01-10 02:00:00,12.676357
2024-01-10 03:00:00,12.37185
2024-01-10 04:00:00,13.214477
2024-01-10 05:00:00,13.338186
2024-01-10 06:00:00,12.816345
2024-01-10 07:00:00,12.998414
2024-01-10 08:00:00,13.106844
2024-01-10 09:00:00,13.1810055
2024-01-10 10:00:00,13.363576
2024-01-10 11:00:00,13.288514
2024-01-10 12:00:00,13.237073
2024-01-10 13:00:00,12.513577
2024-01-10 14:00:00,12.7477865
2024-01-10 15:00:00,13.555708
2024-01-10 16:00:00,12.533665
2024-01-10 17:00:00,11.427264
2024-01-10 18:00:00,10.512168
2024-01-10 19:00:00,10.164359
2024-01-10 20:00:00,10.54213
2024-01-10 21:00:00,11.611575
2024-01-10 22:00:00,11.245273
2024-01-10 23:00:00,9.120511
2024-01-11 00:00:00,9.218585
2024-01-11 01:00:00,8.623645
2024-01-11 02:00:00,8.6907
2024-01-11 03:00:00,8.484943
2024-01-11 04:00:00,8.576189
2024-01-11 05:00:00,8.580218
2024-01-11 06:00:00,8.604533
2024-01-11 07:00:00,8.632565
2024-01-11 08:00:00,8.747247
2024-01-11 09:00:00,8.713474
2024-01-11 10:00:00,8.691522
2024-01-11 11:00:00,7.2553706
2024-01-11 12:00:00,6.18542
2024-01-11 13:00:00,9.2218275
2024-01-11 14:00:00,7.003117
2024-01-11 15:00:00,9.081207
2024-01-11 16:00:00,9.589196
2024-01-11 17:00:00,10.038249
2024-01-11 18:00:00,7.1486745
2024-01-11 19:00:00,6.5211954
2024-01-11 20:00:00,3.9572783
2024-01-11 21:00:00,3.0290656
2024-01-11 22:00:00,3.4238114
2024-01-11 23:00:00,1.4166154
2024-01-12 00:00:00,0.18485963
2024-01-12 01:00:00,-1.119718
2024-01-12 02:00:00,-1.3727015
2024-01-12 03:00:00,-2.5352936
2024-01-12 04:00:00,-1.7995161
2024-01-12 05:00:00,-2.0230856
2024-01-12 06:00:00,-2.2160769
2024-01-12 07:00:00,-2.3385806
2024-01-12 08:00:00,-2.8050885
2024-01-12 09:00:00,-2.644723
2024-01-12 10:00:00,-3.5992522
2024-01-12 11:00:00,-3.774148
2024-01-12 12:00:00,-3.0651765
2024-01-12 13:00:00,-3.5283227
2024-01-12 14:00:00,-3.9001966
2024-01-12 15:00:00,-3.4884644
2024-01-12 16:00:00,-2.910709
2024-01-12 17:00:00,-1.6181353
2024-01-12 18:00:00,-0.96059453
2024-01-12 19:00:00,-0.6634768
2024-01-12 20:00:00,0.4732079
2024-01-12 21:00:00,1.18849
2024-01-12 22:00:00,0.988147
2024-01-12 23:00:00,0.41655806
2024-01-13 00:00:00,-2.0962338
2024-01-13 01:00:00,-2.640171
2024-01-13 02:00:00,-3.4002633
2024-01-13 03:00:00,-3.32556
2024-01-13 04:00:00,-3.810648
2024-01-13 05:00:00,-3.7290034
2024-01-13 06:00:00,-3.8907194
2024-01-13 07:00:00,-4.0815005
2024-01-13 08:00:00,-3.8926263
2024-01-13 09:00:00,-4.2098384
2024-01-13 10:00:00,-4.138306
2024-01-13 11:00:00,-4.053613
2024-01-13 12:00:00,-4.357264
2024-01-13 13:00:00,-4.4127736
2024-01-13 14:00:00,-3.9871693
2024-01-13 15:00:00,-1.3416766
2024-01-13 16:00:00,2.2504306
2024-01-13 17:00:00,4.6143436
2024-01-13 18:00:00,6.6026144
2024-01-13 19:00:00,8.238772
2024-01-13 20:00:00,8.806962
2024-01-13 21:00:00,8.58058
2024-01-13 22:00:00,7.8408675
2024-01-13 23:00:00,4.674841
2024-01-14 00:00:00,0.3302689
2024-01-14 01:00:00,-0.8547634
2024-01-14 02:00:00,-1.1229416
2024-01-14 03:00:00,-1.7357136
2024-01-14 04:00:00,-0.34622455
2024-01-14 05:00:00,0.047068655
2024-01-14 06:00:00,-1.9926828
2024-01-14 07:00:00,-3.3467007
2024-01-14 08:00:00,-3.3483481
2024-01-14 09:00:00,-3.985805
2024-01-14 10:00:00,-4.249051
2024-01-14 11:00:00,-4.428224
2024-01-14 12:00:00,-4.623197
2024-01-14 13:00:00,-4.5524845
2024-01-14 14:00:00,-4.101247
2024-01-14 15:00:00,-2.5558705
2024-01-14 16:00:00,1.7543553
2024-01-14 17:00:00,3.010766
2024-01-14 18:00:00,4.6523933
2024-01-14 19:00:00,5.8585434
2024-01-14 20:00:00,6.838815
2024-01-14 21:00:00,7.1088853
2024-01-14 22:00:00,6.9853063
2024-01-14 23:00:00,5.367219
2024-01-15 00:00:00,1.8994817
2024-01-15 01:00:00,1.804711
2024-01-15 02:00:00,0.86664605
2024-01-15 03:00:00,0.5696597
2024-01-15 04:00:00,1.1721971
2024-01-15 05:00:00,1.6268317
2024-01-15 06:00:00,2.5028243
2024-01-15 07:00:00,2.930872
2024-01-15 08:00:00,3.0476494
2024-01-15 09:00:00,3.6116314
2024-01-15 10:00:00,4.121365
2024-01-15 11:00:00,4.0377655
2024-01-15 12:00:00,4.913085
2024-01-15 13:00:00,5.023662
2024-01-15 14:00:00,5.463731
2024-01-15 15:00:00,6.664854
2024-01-15 16:00:00,5.9807644
2024-01-15 17:00:00,8.396558
2024-01-15 18:00:00,8.298528
2024-01-15 19:00:00,10.296183
2024-01-15 20:00:00,10.534488
2024-01-15 21:00:00,11.794173
2024-01-15 22:00:00,11.919162
2024-01-15 23:00:00,11.508242
2024-01-16 00:00:00,10.694357
2024-01-16 01:00:00,9.370578
2024-01-16 02:00:00,8.657452
2024-01-16 03:00:00,8.55754
2024-01-16 04:00:00,9.128783
2024-01-16 05:00:00,9.269966
2024-01-16 06:00:00,8.793111
2024-01-16 07:00:00,9.681512
2024-01-16 08:00:00,10.349038
2024-01-16 09:00:00,10.572302
2024-01-16 10:00:00,11.138502
2024-01-16 11:00:00,11.386906
2024-01-16 12:00:00,12.399573
2024-01-16 13:00:00,12.434238
2024-01-16 14:00:00,12.624837
2024-01-16 15:00:00,13.3168745
2024-01-16 16:00:00,14.600931
2024-01-16 17:00:00,15.807165
2024-01-16 18:00:00,15.855824
2024-01-16 19:00:00,16.540424
2024-01-16 20:00:00,16.552588
2024-01-16 21:00:00,15.704298
2024-01-16 22:00:00,15.51147
2024-01-16 23:00:00,15.897103
2024-01-17 00:00:00,15.17225
2024-01-17 01:00:00,12.996611
2024-01-17 02:00:00,10.577883
2024-01-17 03:00:00,7.9090357
2024-01-17 04:00:00,5.343062
2024-01-17 05:00:00,3.4685493
2024-01-17 06:00:00,1.7997649
2024-01-17 07:00:00,0.3218075
2024-01-17 08:00:00,-0.43748844
2024-01-17 09:00:00,-1.4772695
2024-01-17 10:00:00,-1.9111995
2024-01-17 11:00:00,-1.6849016
2024-01-17 12:00:00,-1.5085839
2024-01-17 13:00:00,-1.6964351
2024-01-17 14:00:00,-1.8800615
2024-01-17 15:00:00,-1.5036267
2024-01-17 16:00:00,-0.38952965
2024-01-17 17:00:00,0.6266819
2024-01-17 18:00:00,1.4600099
2024-01-17 19:00:00,2.4090667
2024-01-17 20:00:00,3.0626187
2024-01-17 21:00:00,3.6479058
2024-01-17 22:00:00,3.519452
2024-01-17 23:00:00,2.720129
2024-01-18 00:00:00,-1.1317592
2024-01-18 01:00:00,-1.4981526
2024-01-18 02:00:00,-1.5353142
2024-01-18 03:00:00,-1.6104573
2024-01-18 04:00:00,-1.8129941
2024-01-18 05:00:00,-1.9278132
2024-01-18 06:00:00,-2.2745361
2024-01-18 07:00:00,-2.3147006
2024-01-18 08:00:00,-2.458899
2024-01-18 09:00:00,-2.5712838
2024-01-18 10:00:00,-2.6536288
2024-01-18 11:00:00,-2.730537
2024-01-18 12:00:00,-2.3786397
2024-01-18 13:00:00,-2.2939143
2024-01-18 14:00:00,-2.290277
2024-01-18 15:00:00,0.67083585
2024-01-18 16:00:00,3.7513242
2024-01-18 17:00:00,5.901842
2024-01-18 18:00:00,8.12743
2024-01-18 19:00:00,9.56053
2024-01-18 20:00:00,10.924923
2024-01-18 21:00:00,10.559375
2024-01-18 22:00:00,9.381427
2024-01-18 23:00:00,6.1432486
2024-01-19 00:00:00,3.103351
2024-01-19 01:00:00,2.5021353
2024-01-19 02:00:00,1.1731154
2024-01-19 03:00:00,3.5654101
2024-01-19 04:00:00,4.351617
2024-01-19 05:00:00,5.4973845
2024-01-19 06:00:00,5.625975
2024-01-19 07:00:00,5.1713767
2024-01-19 08:00:00,6.262086
2024-01-19 09:00:00,6.1606255
2024-01-19 10:00:00,5.2050977
2024-01-19 11:00:00,5.8712044
2024-01-19 12:00:00,7.0138392
2024-01-19 13:00:00,8.135186
2024-01-19 14:00:00,8.630019
2024-01-19 15:00:00,8.944789
2024-01-19 16:00:00,9.645665
2024-01-19 17:00:00,10.304334
2024-01-19 18:00:00,11.73416
2024-01-19 19:00:00,14.033873
2024-01-19 20:00:00,17.881424
2024-01-19 21:00:00,14.234274
2024-01-19 22:00:00,14.166552
2024-01-19 23:00:00,14.63272
2024-01-20 00:00:00,14.25717
2024-01-20 01:00:00,13.2882185
2024-01-20 02:00:00,13.65076
2024-01-20 03:00:00,13.726178
2024-01-20 04:00:00,13.490945
2024-01-20 05:00:00,15.915008
2024-01-20 06:00:00,15.384222
2024-01-20 07:00:00,15.629829
2024-01-20 08:00:00,16.767925
2024-01-20 09:00:00,16.686035
2024-01-20 10:00:00,15.835517
2024-01-20 11:00:00,16.487843
2024-01-20 12:00:00,16.36503
2024-01-20 13:00:00,15.9438305
2024-01-20 14:00:00,11.589896
2024-01-20 15:00:00,10.936484
2024-01-20 16:00:00,9.780289
2024-01-20 17:00:00,9.430476
2024-01-20 18:00:00,10.050018
2024-01-20 19:00:00,9.873791
2024-01-20 20:00:00,11.71536
2024-01-20 21:00:00,12.181286
2024-01-20 22:00:00,11.086095
2024-01-20 23:00:00,8.593703
2024-01-21 00:00:00,6.5016904
2024-01-21 01:00:00,5.6117096
2024-01-21 02:00:00,6.05837
2024-01-21 03:00:00,5.449104
2024-01-21 04:00:00,5.5973163
2024-01-21 05:00:00,5.7724576
2024-01-21 06:00:00,5.927751
2024-01-21 07:00:00,4.0120897
2024-01-21 08:00:00,3.1311865
2024-01-21 09:00:00,3.106933
2024-01-21 10:00:00,6.368438
2024-01-21 11:00:00,7.3487873
2024-01-21 12:00:00,7.767122
2024-01-21 13:00:00,8.328975
2024-01-21 14:00:00,8.6096325
2024-01-21 15:00:00,9.060837
2024-01-21 16:00:00,9.61971
2024-01-21 17:00:00,11.079797
2024-01-21 18:00:00,11.659893
2024-01-21 19:00:00,13.173872
2024-01-21 20:00:00,14.647494
2024-01-21 21:00:00,14.789014
2024-01-21 22:00:00,14.6396055
2024-01-21 23:00:00,14.11329
2024-01-22 00:00:00,13.442047
2024-01-22 01:00:00,13.158727
2024-01-22 02:00:00,12.950666
2024-01-22 03:00:00,12.493635
2024-01-22 04:00:00,12.533877
2024-01-22 05:00:00,12.179798
2024-01-22 06:00:00,11.973386
2024-01-22 07:00:00,12.755532
2024-01-22 08:00:00,12.926773
2024-01-22 09:00:00,14.125433
2024-01-22 10:00:00,15.334888
2024-01-22 11:00:00,15.899602
2024-01-22 12:00:00,16.494461
2024-01-22 13:00:00,14.510582
2024-01-22 14:00:00,13.41684
2024-01-22 15:00:00,14.596173
2024-01-22 16:00:00,16.177599
2024-01-22 17:00:00,15.23913
2024-01-22 18:00:00,15.3564
2024-01-22 19:00:00,15.422936
2024-01-22 20:00:00,15.070425
2024-01-22 21:00:00,15.277406
2024-01-22 22:00:00,14.735093
2024-01-22 23:00:00,13.558417
2024-01-23 00:00:00,11.678815
2024-01-23 01:00:00,10.81928
2024-01-23 02:00:00,10.547387
2024-01-23 03:00:00,9.704845
2024-01-23 04:00:00,8.829625
2024-01-23 05:00:00,6.9601083
2024-01-23 06:00:00,5.2099566
2024-01-23 07:00:00,4.2169003
2024-01-23 08:00:00,3.6437283
2024-01-23 09:00:00,2.6409001
2024-01-23 10:00:00,2.038813
2024-01-23 11:00:00,1.9275923
2024-01-23 12:00:00,1.0992913
2024-01-23 13:00:00,1.1191399
2024-01-23 14:00:00,1.4472247
2024-01-23 15:00:00,1.5878348
2024-01-23 16:00:00,3.159338
2024-01-23 17:00:00,6.9930887
2024-01-23 18:00:00,9.601296
2024-01-23 19:00:00,12.935111
2024-01-23 20:00:00,14.30458
2024-01-23 21:00:00,14.383866
2024-01-23 22:00:00,14.121999
2024-01-23 23:00:00,12.461082
2024-01-24 00:00:00,8.373692
2024-01-24 01:00:00,7.638075
2024-01-24 02:00:00,7.906262
2024-01-24 03:00:00,6.8813853
2024-01-24 04:00:00,6.2256136
2024-01-24 05:00:00,5.5138516
2024-01-24 06:00:00,5.3958707
2024-01-24 07:00:00,4.836147
2024-01-24 08:00:00,4.445733
2024-01-24 09:00:00,5.576733
2024-01-24 10:00:00,5.0040836
2024-01-24 11:00:00,5.5752826
2024-01-24 12:00:00,5.559412
2024-01-24 13:00:00,7.2543325
2024-01-24 14:00:00,7.206575
2024-01-24 15:00:00,8.855181
2024-01-24 16:00:00,10.61341
2024-01-24 17:00:00,8.583839
2024-01-24 18:00:00,7.8457313
2024-01-24 19:00:00,11.533365
2024-01-24 20:00:00,14.150296
2024-01-24 21:00:00,14.1762
2024-01-24 22:00:00,14.961232
2024-01-24 23:00:00,12.818027
2024-01-25 00:00:00,11.469624
2024-01-25 01:00:00,12.118582
2024-01-25 02:00:00,11.890233
2024-01-25 03:00:00,11.985595
2024-01-25 04:00:00,12.108387
2024-01-25 05:00:00,12.5664015
2024-01-25 06:00:00,12.414209
2024-01-25 07:00:00,13.365486
2024-01-25 08:00:00,12.7685175
2024-01-25 09:00:00,13.253623
2024-01-25 10:00:00,14.094132
2024-01-25 11:00:00,14.180002
2024-01-25 12:00:00,14.759902
2024-01-25 13:00:00,14.779554
2024-01-25 14:00:00,15.110983
2024-01-25 15:00:00,14.776565
2024-01-25 16:00:00,14.798334
2024-01-25 17:00:00,15.5324
2024-01-25 18:00:00,15.254745
2024-01-25 19:00:00,14.771871
2024-01-25 20:00:00,14.688299
2024-01-25 21:00:00,15.122089
2024-01-25 22:00:00,14.1496105
2024-01-25 23:00:00,13.88561
2024-01-26 00:00:00,13.779981
2024-01-26 01:00:00,13.9108925
2024-01-26 02:00:00,12.346513
2024-01-26 03:00:00,13.889102
2024-01-26 04:00:00,12.287849
2024-01-26 05:00:00,11.126972
2024-01-26 06:00:00,9.376058
2024-01-26 07:00:00,8.213241
2024-01-26 08:00:00,7.8183465
2024-01-26 09:00:00,6.8585176
2024-01-26 10:00:00,6.150823
2024-01-26 11:00:00,5.3048525
2024-01-26 12:00:00,4.9307895
2024-01-26 13:00:00,3.4511623
2024-01-26 14:00:00,2.9213233
2024-01-26 15:00:00,3.4100013
2024-01-26 16:00:00,4.63016
2024-01-26 17:00:00,7.517272
2024-01-26 18:00:00,9.122846
2024-01-26 19:00:00,9.846563
2024-01-26 20:00:00,10.464381
2024-01-26 21:00:00,10.32091
2024-01-26 22:00:00,10.019609
2024-01-26 23:00:00,9.102266
2024-01-27 00:00:00,6.6891327
2024-01-27 01:00:00,5.2726727
2024-01-27 02:00:00,4.9570823
2024-01-27 03:00:00,4.5837965
2024-01-27 04:00:00,3.9937057
2024-01-27 05:00:00,3.4272614
2024-01-27 06:00:00,2.6394582
2024-01-27 07:00:00,1.9409465
2024-01-27 08:00:00,1.5869205
2024-01-27 09:00:00,1.064633
2024-01-27 10:00:00,0.9526112
2024-01-27 11:00:00,0.38394177
2024-01-27 12:00:00,0.84405905
2024-01-27 13:00:00,2.0425272
2024-01-27 14:00:00,1.9423167
2024-01-27 15:00:00,2.3664556
2024-01-27 16:00:00,2.9243903
2024-01-27 17:00:00,3.7947998
2024-01-27 18:00:00,5.5004373
2024-01-27 19:00:00,11.368362
2024-01-27 20:00:00,9.02074
2024-01-27 21:00:00,11.018946
2024-01-27 22:00:00,8.514483
2024-01-27 23:00:00,7.3550816
2024-01-28 00:00:00,5.0922813
2024-01-28 01:00:00,4.760466
2024-01-28 02:00:00,3.5003958
